iter	MultiClass
132	-0.2499633665
133	-0.2481870283
134	-0.2464500462
135	-0.2442115817
136	-0.2432992653
137	-0.2422854918
138	-0.2413391271
139	-0.2387249495
140	-0.2375482506
141	-0.2364997413
142	-0.2352843186
143	-0.2340761292
144	-0.2329481098
145	-0.2317822194
146	-0.2296711745
147	-0.2275746371
148	-0.2261753733
149	-0.2245061302
150	-0.2230564817
151	-0.2213750411
152	-0.2207249621
153	-0.2191157434
154	-0.2176439002
155	-0.2155390984
156	-0.2134421072
157	-0.2123592472
158	-0.2115594164
159	-0.2104854672
160	-0.2087754102
161	-0.2073333386
162	-0.2064110663
163	-0.2052916552
164	-0.2033507414
165	-0.2025485179
166	-0.2013168962
167	-0.200401032
168	-0.1999973763
169	-0.1993264365
170	-0.1983666643
171	-0.1972288815
172	-0.1963028826
173	-0.1947754566
174	-0.1939518636
175	-0.1933807445
176	-0.1920774648
177	-0.1909969012
178	-0.1894392224
179	-0.1876787532
180	-0.1856087834
181	-0.1848706684
182	-0.1844218947
183	-0.1827526928
184	-0.1817797882
185	-0.1808044633
186	-0.1793876116
187	-0.1781347167
188	-0.1771421752
189	-0.1759266838
190	-0.1751851448
191	-0.1742249876
192	-0.1733570329
193	-0.1727315411
194	-0.1713885202
195	-0.1701072151
196	-0.1695218359
197	-0.1685334472
198	-0.1675326824
199	-0.1662035365
200	-0.1652520702
201	-0.1640573433
202	-0.1632657633
203	-0.1620573951
204	-0.1613028749
205	-0.1604130968
206	-0.1593343209
207	-0.1586470996
208	-0.1578329949
209	-0.1569371938
210	-0.1558170127
211	-0.1548926777
212	-0.1540932732
213	-0.1536562156
214	-0.1530040875
215	-0.1522842481
216	-0.1515737458
217	-0.1506795674
218	-0.1496545178
219	-0.1484299093
220	-0.1469575161
221	-0.1461472893
222	-0.1457014446
223	-0.1452069615
224	-0.1443903267
225	-0.1435899733
226	-0.1423402275
227	-0.1411648211
228	-0.1405059137
229	-0.1401530003
230	-0.1395615018
231	-0.1390113534
232	-0.1384355726
233	-0.1375686355
234	-0.1365861324
235	-0.1356985409
236	-0.1346537169
237	-0.1337307982
238	-0.1330117564
239	-0.1324839401
240	-0.1321294178
241	-0.1314894322
242	-0.130996723
243	-0.130452639
244	-0.1293239183
245	-0.1288253648
246	-0.1280623876
247	-0.1274386285
248	-0.1264508999
249	-0.1256406457
250	-0.1250726619
251	-0.1244548846
252	-0.1239434324
253	-0.1234066916
254	-0.1228413068
255	-0.1223278194
256	-0.1215172764
257	-0.1211512854
258	-0.1204576147
259	-0.1199873477
260	-0.1190996874
261	-0.1181823792
262	-0.117739491
263	-0.1171518566
264	-0.1165174265
265	-0.1156010672
266	-0.1153049467
267	-0.1150080148
268	-0.1146345707
269	-0.1138355513
270	-0.1132741956
271	-0.112852175
272	-0.1123934934
273	-0.1114897372
274	-0.1110049694
275	-0.1101568097
276	-0.1096671327
277	-0.1093481987
278	-0.1087044315
279	-0.1081148031
280	-0.1074816657
281	-0.1069134068
282	-0.1061667386
283	-0.1055793792
284	-0.1051392
285	-0.1045283603
286	-0.103769364
287	-0.1035463729
288	-0.1027808379
289	-0.1024048567
290	-0.1018205432
291	-0.1013629892
292	-0.1009856054
293	-0.1005935351
294	-0.09991401448
295	-0.09945595859
296	-0.09885687622
297	-0.09832247998
298	-0.09785037714
299	-0.09755226265
300	-0.09724947272
301	-0.09691611364
302	-0.09667529396
303	-0.09634193488
304	-0.09585388053
305	-0.09534720004
306	-0.09466594676
307	-0.09450649353
308	-0.09413351008
309	-0.09381420483
310	-0.09340990279
311	-0.09313065509
312	-0.09271000274
313	-0.09245787261
314	-0.09188913249
315	-0.09158343416
316	-0.09136634922
317	-0.09088557618
318	-0.09054533458
319	-0.09016987589
320	-0.08980908297
321	-0.0894238471
322	-0.08905757428
323	-0.08862375507
324	-0.08809111899
325	-0.08766865147
326	-0.08702823269
327	-0.08668261433
328	-0.08608041729
329	-0.08560696682
330	-0.085437372
331	-0.08503476824
332	-0.08467702811
333	-0.08438246146
334	-0.0841675561
335	-0.08370442598
336	-0.08346553836
337	-0.08303185665
338	-0.08269890324
339	-0.08236606671
340	-0.0820077834
341	-0.08154407573
342	-0.08119950934
343	-0.0808409235
344	-0.08052927086
345	-0.08023389288
346	-0.0797487263
347	-0.07941267197
348	-0.07888133539
349	-0.07827884957
350	-0.07807863748
351	-0.07771712262
352	-0.0774873246
353	-0.07695784445
354	-0.07671852365
355	-0.076478089
356	-0.07630552391
357	-0.07589870538
358	-0.07562172664
359	-0.07518440772
360	-0.07484563063
361	-0.07456121931
362	-0.07429832879
363	-0.07396828378
364	-0.07367019679
365	-0.07335267922
366	-0.07300647642
367	-0.07281089165
368	-0.07259161338
369	-0.07226475179
370	-0.07195912222
371	-0.07164677513
372	-0.0714970372
373	-0.0710137683
374	-0.07060681913
375	-0.07030539745
376	-0.07005618947
377	-0.06963088231
378	-0.06940000482
379	-0.06903230874
380	-0.06882348146
381	-0.06862123418
382	-0.06835964315
383	-0.06810758865
384	-0.06787699306
385	-0.06772253155
386	-0.06758084501
387	-0.06724141473
388	-0.06704314845
389	-0.0666867972
390	-0.0664891291
391	-0.06625350741
392	-0.06600795727
393	-0.0657706648
394	-0.06540521706
395	-0.06508644811
396	-0.06477918901
397	-0.06463844443
398	-0.06437488696
399	-0.06416693289
400	-0.06388212279
401	-0.06356699107
402	-0.0634280479
403	-0.06311785977
404	-0.06300933449
405	-0.06280131167
406	-0.06254368789
407	-0.06233822968
408	-0.06211987962
409	-0.06191774235
410	-0.06159484114
411	-0.06139113622
412	-0.06103425554
413	-0.06080119159
414	-0.06059082416
415	-0.06038654169
416	-0.06025478358
417	-0.05997458704
418	-0.05971777459
419	-0.05943376207
420	-0.05923527577
421	-0.05904433893
422	-0.05873223249
423	-0.05839423923
424	-0.05807263064
425	-0.05789233731
426	-0.05761988963
427	-0.05743545716
428	-0.05725889731
429	-0.05697007183
430	-0.05676728825
431	-0.05655959545
432	-0.05632009589
433	-0.05613584219
434	-0.05592583229
435	-0.05565322991
436	-0.05548383105
437	-0.05526246946
438	-0.05509641561
439	-0.05484734514
440	-0.05466230074
441	-0.05457167965
442	-0.05441970713
443	-0.05417380634
444	-0.05392128086
445	-0.05374246236
446	-0.05348930776
447	-0.05332921166
448	-0.05320506833
449	-0.05299014923
450	-0.05286536991
451	-0.05262583597
452	-0.05244138975
453	-0.05234277572
454	-0.05214874828
455	-0.05194990444
456	-0.05177030556
457	-0.05155614965
458	-0.05137835906
459	-0.05126836239
460	-0.05115834509
461	-0.05102610225
462	-0.05089699128
463	-0.05078864133
464	-0.05071510967
465	-0.05049506477
466	-0.05029868585
467	-0.05019422065
468	-0.0500240689
469	-0.04978231413
470	-0.04963617216
471	-0.04955050842
472	-0.04935213901
473	-0.04922936738
474	-0.04915136655
475	-0.04900095825
476	-0.04885924764
477	-0.04873357792
478	-0.04860518201
479	-0.04838461799
480	-0.04831072193
481	-0.04811109771
482	-0.04796098505
483	-0.04782817153
484	-0.04775372198
485	-0.04756386462
486	-0.04736895366
487	-0.04717504655
488	-0.04698957929
489	-0.04683032202
490	-0.04664637084
491	-0.0464745827
492	-0.04631937862
493	-0.04617232219
494	-0.04603392908
495	-0.04577134109
496	-0.04568871639
497	-0.0455484256
498	-0.04544529083
499	-0.04530895354
